author,title,category,phrase_text,error,correction
By Peter the Human,Injustice: Gods Among Us,Comics & Superheroes,"The Injustice comics follow an alternate timeline in which Superman becomes a dictator. Superman's descent begins when Joker lures him into a trap: Joker had stolen a nuclear weapon which he placed in the center of Metropolis, set to detonate when Doomsday's heart stopped. After Superman finds Doomsday and launches him into outer space, he inadvertently detonates the device and kills the citizens of Metropolis.","set to detonate when Doomsday's heart stopped. After Superman finds Doomsday and launches him into outer space,","Um, actually, Doomsday wasn't part of Joker's plan. The device was linked to Lois Lane's heart. Superman killed Lois Lane, thinking she was Doomsday under the influence of Scarecrow's Fear Toxin."
By Peter the Human,Ms. Marvel,Comics & Superheroes,"Kamala Khan is the most recent incarnation of Ms. Marvel, both in comics and the MCU. In the comics, Kamala is descended from Inhumans, and has morphogenetic powers activated by bangle that was given to her by Carol Danvers. In the TV show ""Ms. Marvel"", Kamala is descended from Clandestines and can manipulate extra-dimensional energy with her powers, activated by a bangle that belonged to her great-grandmother Aisha.",and has morphogenetic powers activated by bangle that was given to her by Carol Danvers.,"Um, actually, comic book Kamala's powers don't come from a bangle - and she didn't receive the Bangle from Carol Danvers. Ms. Marvel is an Inhuman/Mutant hybrid who gained her powers by inhaling Terrigen Mist. In the comics, Aisha's bangle was used to smuggle money out of India during Partition"
By Peter the Human,Scott Pilgrim vs. the World,Comics & Superheroes,"The Scott Pilgrim series of graphic novels and its film adaptation follows Canadian musician and slacker Scott Pilgrim’s quest to defeat the seven evil ex-boyfriends of delivery girl Ramona Flowers. These include actor and professional skateboarder Lucas Lee, super-powered vegan Todd Ingram, and twins Kyle and Ken Katayanagi – who, in the graphic novels, built several robots to fight Scott.",Scott Pilgrim’s quest to defeat the seven evil ex-boyfriends of delivery girl Ramona Flowers.,"Um, actually, Scott doesn't have to defeat seven ex-boyfriends. One of Ramona's exes is a woman - lesbian ninja Roxy Richter."
By Queercodedcoder & Peter the Human,Spider-Man: Into the Spider-Verse,Comics & Superheroes,"The various Spider-People in “Spider-Man: Into the Spider-Verse” may have all been bitten by a radioactive spider and consider themselves the “one and only” Spidey in their universe, but they couldn't be more different: Peter B. Parker is a divorcee living in a one-bedroom apartment, Spider Man Noir is a P.I. living in 1933 who likes to drink egg creams and fight Nazis, and Peter Porker is a photographer for the Daily Beagle.","may have all been bitten by a radioactive spider and consider themselves the “one and only” Spidey in their universe,","Um, actually, not all of the Spider-Men were bitten by a radioactive spider. Peter Porker was a spider who was bitten by a radioactive pig."
By Peter the Human,Teen Titans,Comics & Superheroes,"In the episode “Troq”, the Titans aid the alien superhero Val-Yor in ending his war with the Locrix. Val-Yor repeatedly refers to Starfire as “Troq”. When Cyborg asks Starfire what this means, she initially says it means nothing, but eventually reveals that “Troq” means “princess” and is a painful reminder of her homeworld of Tamaran.",but eventually reveals that “Troq” means “princess” and is a painful reminder of her homeworld of Tamaran.,"Um, actually, “Troq” doesn't mean princess. ""Troq"" a racial slur against Tamaraneans that literally means ""nothing"" - implying that Val-Yor thinks Starfire is worthless."
By Peter the Human,The Umbrella Academy,Comics & Superheroes,"“The Umbrella Academy” follows the super-powered adopted children of billionaire Reginald Hargreeves, as they try to prevent an apocalyptic event. The siblings learn of the oncoming apocalypse at Reginald's funeral from their sibling Five. Five had gone missing in 2002 at age 15: he time travelled from 2002, to the apocalypse on April 1st 2019, and then travelled back in time to the date of the funeral on March 25th 2019, still aged 15.","and then travelled back in time to the date of the funeral on March 25th 2019, still aged 15.","Um, actually, Five isn't still 15 years old. Five Hargreaves lived for 45 years after the apocalypse without aging, time travelling back to the date of the funeral from the year 2064. Five is 77 years old, but still appears to be 15."
By Peter the Human,Watchmen,Comics & Superheroes,"In “Watchmen”, Adrian “Ozymandias” Veidt seeks to prevent nuclear war by faking an alien invasion and uniting the superpowers. After explaining his plan to fellow masked vigilantes Rorschach and Nite Owl, a fight ensues as they try to stop him. Ultimately, Ozymandias wins the fight and succeeds, resulting in the death of half of New York City.","After explaining his plan to fellow masked vigilantes Rorschach and Nite Owl, a fight ensues as they try to stop him.","Um, actually, a fight doesn't break out after Ozymandias explains his plan. Ozymandias had already detonated his bomb 35 minutes before Nite Owl and Rorschach arrived."
By Peter the Human,X-Men,Comics & Superheroes,"Professor Charles Xavier turned his family mansion into the Xavier School for Gifted Youngsters, where he could train mutants to use their powers to benefit mankind. He assembled a team under the name ‘X-Men’, originally consisting of Cyclops, Iceman, Beast, Angel and Marvel Girl. Later additions to the team included Wolverine, Jean Grey, Storm, Rogue and Gambit.","Later additions to the team included Wolverine, Jean Grey, Storm, Rogue and Gambit.","Um, actually, Jean Grey wasn't a later addition to the team. Jean Grey is the same person as Marvel Girl."
By Peter the Human,Y: the Last Man,Comics & Superheroes,"“Y: The Last Man” is a post-apocalyptic comic book series that details aftermath of a cataclysmic event that simultaneously kills every mammal with a Y chromosome, except for the amateur escape artist Yorick Brown. The survivors of this apocalypse include women and transgender men (as they do not have a Y chromosome), as well as birds and reptiles (as they have different sex chromosomes).","every mammal with a Y chromosome, except for the amateur escape artist Yorick Brown.","Um, actually, the event doesn't kill every mammal with a Y chromosome. Yorick's (male) pet monkey Ampersand also survives."
By Peter the Human,Black Mirror,Sci-Fi,"In the episode “Fifteen Million Merits”, Bing Madsen buys a ticket so his friend Abi can enter the talent contest Hot Shot. After Abi fails to impress the judges, but is cast for a porn channel, Bing saves up to purchase another ticket and enter Hot Shot himself. The episode concludes with Bing slitting his own throat onstage with a shard of broken glass, and a judge declaring that it was the greatest act in the show's history.","The episode concludes with Bing slitting his own throat onstage with a shard of broken glass, and a judge declaring that it was the greatest act in the show's history.","Um, actually, Bing doesn't kill himself. He is given his own show where he rants against the cruelty of the system – but has increased his social status significantly."
By Peter the Human,Blake's 7,Sci-Fi,"In sci-fi series “Blake’s 7”, the titular dissident Roj Blake is deported from Earth to a penal colony, following his arrest for inciting a rebellion against the totalitarian Terran Federation. While en route, Blake and his fellow prisoners Jenna Stannis and Kerr Avon break free and escape on a technologically advanced alien spacecraft, which its central computer 'Zen' informs them is named Liberator.",following his arrest for inciting a rebellion against the totalitarian Terran Federation.,"Um, actually, Blake wasn't deported for inciting a rebellion. Blake did incite a rebellion - but he was brainwashed into making a confession and denouncing the rebellion. His memory of those years was then blocked. When he started to remember, he was arrested on false charges."
By Peter the Human,Doctor Who,Sci-Fi,"The episode “Blink” focuses on Sally Sparrow, who discovers messages from the Doctor under wallpaper and in Easter Eggs in her DVDs. Trapped in 1969, he gives Sally these messages to help her return the TARDIS before it falls into the hands of the Weeping Angels: predatory creatures that turn to stone when observed but can instantly kill their victims the second they stop looking at them.",predatory creatures that turn to stone when observed but can instantly kill their victims the second they stop looking at them.,"Um, actually, the Weeping Angels don't instantly kill their victims. They send them back in time and make them 'live to death’."
By Peter the Human,Don't Hug Me I'm Scared,Horror,"The webseries “Don't Hug Me I'm Scared” and the TV series of the same name are surreal-musical-comedy-horror shows which combine puppetry with animation. In both the web and TV series, series co-creator Joseph Pelling plays 'Red Guy': a tall red creature who usually speaks in a monotone, inexpressive voice despite the horrific events that unfold around him - making it even more jarring when we hear him raise his voice for the first time in the opening theme of Episode 4 of the TV series, screaming, ""And we live in an ACTUAL NIGHTMARE!""","making it even more jarring when we hear him raise his voice for the first time in the opening theme of Episode 4 of the TV series,","Um, actually, that isn’t the first time Red Guy raises his voice. Three episodes beforehand, in the series premiere ‘Jobs’, Red Guy learns how to scream down the phone to deal with customers."
By Peter the Human,Life on Mars,Sci-Fi,"After detective Sam Tyler has a car accident in the year 2006 and wakes up in 1973, he questions if he's mad, in a coma or has gone back in time. While continuing his police work, he contends with outdated methods and attitudes of DCI Gene Hunt - and in a memorable finale, chooses to return to 2006 by gathering incriminating evidence on Hunt.","and in a memorable finale, chooses to return to 2006 by gathering incriminating evidence on Hunt.","Um, actually, Sam doesn't submit the evidence against Gene Hunt. Sam wakes up from a gunfight in 1973 to find his brain tumor has been removed in 2006 - but then chooses to return to 1973 by jumping off the top of his police station."
By Peter the Human,Misfits,Fantasy,"The first season of “Misfits” follows a group of young offenders who gain special abilities after an electrical storm. While most of the group gain superpowers - such as Kelly who becomes telepathic and Alisha who sends people into a sexual frenzy when they touch her skin - Nathan Young does not gain superpowers, and eventually dies fighting superpowered cult leader Rachel.","Nathan Young does not gain superpowers, and eventually dies fighting superpowered cult leader Rachel.","Um, actually, Nathan does have a superpower. After he wakes up in his coffin, alive, he realizes his superpower is immortality."
By Shinitenshi,Monty Python's Life of Brian,Fantasy,"In a famous scene, the leader of the Judean People's Front rhetorically asks what the Romans have given the people of Judea. This prompts resistance members to start suggesting things the Romans have given them, including the aqueduct, sanitation, the roads, irrigation, medicine, education, wine, public order and bringing peace.",the leader of the Judean People's Front rhetorically asks what the Romans have given the people of Judea.,"Um, actually, the question wasn't asked by the leader of the Judean People's Front. It was asked by the leader of the People's Front of Judea - who hates the Judean People's Front."
By Peter the Human,Raven,Cartoons & TV,"In kids’ game show “Raven”, the titular character leads his young warriors to do battle with his nemesis, Nevar. If the warriors lose too many lives during challenges such as Deep Loch, Blasted Mountain or Riddle Bridge and find themselves in last place; they may have to face The Way of the Warrior – an intense obstacle course that remained unbeaten throughout the show's original ten seasons.",an intense obstacle course that remained unbeaten throughout the show's original ten seasons.,"Um, actually, the Way of the Warrior wasn't unbeaten. The course was only ever beaten four times in ten seasons – by the warriors Ishal, Varna, Worjo and Kinsa."
By Peter the Human,Sherlock,Cartoons & TV,"The BBC series “Sherlock” gave us updated versions of the classic Conan Doyle characters, including a flirtatious Irene Adler played by Lara Pulver in the episode ""A Scandal in Belgravia"". Sherlock deduces that the password to her smartphone (which contains compromising photos of her and a member of the royal family) is “221B” - his house number - after reading her pulse and determining her affections for him.",Sherlock deduces that the password to her smartphone (which contains compromising photos of her and a member of the royal family) is “221B”,"Um, actually, the password isn't 221B. The password is ""SHER"" to spell out ""I Am SHERLocked"" on her lockscreen."
By Peter the Human,Thunderbirds,Cartoons & TV,"The titular Thunderbirds are ""miracle machines"" piloted by the five sons of astronaut Jeff Tracy, consisting of two supersonic planes, a rocket, a minisubmarine and a space station. The ""supermarionation"" series also featured various other vehicles - including Lady Penelope Parker's car The Compact Pussycat (a Pink Rolls-Royce equipped with machine cannons, harpoon cables and bulletproof tires), the hypersonic airliner Fireflash, and Thunderbird 6 -  a restored Tiger Moth biplane.","including Lady Penelope Parker's car The Compact Pussycat (a Pink Rolls-Royce equipped with machine cannons, harpoon cables and bulletproof tires),","Um, actually, Lady Penelope's car isn't called The Compact Pussycat. Penelope Parker's car is called FAB 1. The Compact Pussycat is driven by Penelope Pitstop in Wacky Races."
By Peter the Human,Beowulf,History & Mythology,"Beowulf is a young warrior from Geatland who leaves his homeland to assist Hrothgar, king of the Danes, in defending his great hall from Grendel: a troll-like monster said to be descended from the biblical figure Cain. Beowulf engages in a violent battle with Grendel, eventually slaying him by stabbing him through the heart with his legendary sword Næġling.",eventually slaying him by stabbing him through the heart with his legendary sword Næġling.,"Um, actually, Beowulf doesn't slay Grendel with a sword. Since Grendel is unarmed, Beowulf chooses to fight without any weapons. He defeats Grendel by tearing off Grendel's arm at the shoulder."
By Peter the Human,Dante's Inferno,History & Mythology,"In the epic poem Inferno, Dante finds himself being guided through Hell by the Roman poet Virgil. The pair venture through the nine circles of hell, encountering mythological characters and historical figures such as Helen of Troy, the Minotaur, Medusa, Alexander the Great, Attila the Hun and Judas Iscariot before reaching the very center of Hell; where Satan himself is burning eternally in a lake of fire.",the very center of Hell; where Satan himself is burning eternally in a lake of fire.,"Um, actually, Satan isn't burning in a lake of fire. He is frozen in a lake of ice."
By Peter the Human,The Frog Prince,History & Mythology,"After a princess loses her golden ball in a well, a frog offers to retrieve it if the princess promises to love him, let him eat from her golden plate and sleep in her bed. The frog retrieves the ball, and (at her father's encouragement), the princess keeps her promises. When she kisses the frog, it breaks a curse, and he transforms back into a prince. The prince's servant Faithful Heinrich arrives the following morning to return the prince to his kingdom.","When she kisses the frog, it breaks a curse, and he transforms back into a prince.","Um, actually, the frog wasn't transformed by a kiss. In the Grimm's Fairy Tale version, the frog is transformed after the princess throws him against a wall."
By Peter the Human,Journey to the West,History & Mythology,"Sun Wukong, the Monkey King, possesses enormous strength and power. According to the legend, he is able to support the weight of two celestial mountains and can travel over 30,000 miles with a single somersault. He also possesses a magical circlet gifted to him from the Buddha, which gives him the power to freeze people in place.","He also possesses a magical circlet gifted to him from the Buddha, which gives him the power to freeze people in place.","Um, actually, the magical circlet doesn't give Sun Wukong powers. Although Sun Wukong does have the power to freeze people, the magical circlet was given to Sun Wukong so the monk Tang Seng could discipline him by giving him headaches."
By Peter the Human,The Minotaur,History & Mythology,"The Minotaur was a part-man, part-bull monster that dwelt at the centre of a labyrinth. It was created after the King Minos refused to sacrifice a beautiful snow-white bull to Poseidon, causing Poseidon to transform the bull into the hideous Minotaur. The Minotaur was killed by Theseus, aided by Minos’ daughter Ariadne, who gave Theseus a ball of thread to help him navigate the maze.",causing Poseidon to transform the bull into the hideous Minotaur.,"Um, actually, the minotaur wasn't a cursed bull. Poseidon asked Aphrodite to curse Minos' wife Pasiphaë to fall in love with the bull... and thus, the Minotaur was born."
By Peter the Human,Osiris,History & Mythology,"A jealous Set murdered his brother Osiris by tricking him into getting into a sarcophagus that Set sealed shut and threw into the Nile. Osiris' wife Isis gathered the fourteen scattered pieces of his corpse, reconstituting the body to make it whole again. This allowed Isis to briefly revive Osiris and conceive their son Horus; with Osiris living on as God of the underworld thereafter.","Osiris' wife Isis gathered the fourteen scattered pieces of his corpse, reconstituting the body to make it whole again.","Um, actually, Isis didn't reassemble Osiris' whole body. She found thirteen pieces, but was missing his genitals; so she had to make a temporary replacement."
By Peter the Human,The Questing Beast,History & Mythology,"The Questing Beast is a creature with the head of a snake, the body of a leopard, the haunches of a lion and the feet of a hart. The Beast appeared to Arthur after he conceived Mordred in an affair with his half-sister Morgause; and although King Pellinore attempted futile quests to hunt the beast, it was finally slain by Arthur after he chased it into a lake.",it was finally slain by Arthur after he chased it into a lake.,"Um, actually, Arthur didn't slay the Questing Beast. It was slain by Sir Palamedes."
By Peter the Human,The Snow Queen,History & Mythology,"In Hans Christian Andersen's fairy tale, the young boy Kai is captured by the Snow Queen after splinters of a troll's magic mirror get lodged into his heart and eye. Kai's friend Gerda searches for him, and with the help of two crows, a little robber girl, the reindeer Bae and a Finn woman who gives Gerda a potion that grants her ""the strength of twelve men""; Gerda saves Kai.","a Finn woman who gives Gerda a potion that grants her ""the strength of twelve men""; Gerda saves Kai.","Um, actually, the Finn woman didn't give Gerda a potion. Bae asked for a potion, but the Finn said ""She cannot receive any power from me greater than she now has, which consists in her own purity and innocence of heart."""
By Peter the Human,Valhalla,History & Mythology,"One of the nine realms surrounding the world tree Yggdrasil in Norse cosmology, Asgard is the home of the Aesir tribe of gods, and also the site of Valhalla – a majestic, enormous hall presided over by Odin, where all warriors who die in combat will be led by Valkyries to prepare for the apocalyptic events of Ragnarök.",where all warriors who die in combat will be led by Valkyries to prepare for the apocalyptic events of Ragnarök.,"Um, actually, not all warriors who die in battle go to Valhalla Only half the warriors that die in battle go to Valhalla. The other half go to Freyja's field Folkvangr."
By Peter the Human,Zeus' Lovers,History & Mythology,"Zeus often used his shapeshifting ability in his pursuit of lovers. Some examples include him turning into a cuckoo to seduce his wife Hera, a swan to seduce Aetolian princess Leda, an eagle to abduct the Trojan boy Ganymede, and a bull to seduce the princesses Io and Europa.",and a bull to seduce the princesses Io and Europa.,"Um, actually, Zeus didn't turn into a bull to seduce Io. Although he did turn into a bull to seduce Europa, he turned Io into a bull to disguise her from a jealous Hera."
By Peter the Human,Banjo Kazooie,Games," “Banjo Kazooie” sees the titular pair of Banjo and Kazooie gathering musical notes and puzzle pieces (called ""Jiggies"") to defeat the witch Gruntilda, who kidnapped Banjo's sister Tooty in order to harvest her youth and gain eternal life. The game culminates with a trivia game hosted by Gruntilda (similar to British game show “The Adventure Game”), followed by a final boss fight against her.",who kidnapped Banjo's sister Tooty in order to harvest her youth and gain eternal life.,"Um, actually, gruntilda isn't looking for eternal life. She wants to steal Tooty's beauty and become beautiful herself."
By Peter the Human,Batman,Comics & Superheroes,"When Bruce Wayne visits photojournalist Vicki Vale’s apartment intending to reveal his secret identity, the Joker interrupts and asks Bruce “Have you ever danced with the devil in the pale moonlight?” before shooting him. Fortunately, the bullet is stopped by a concealed Batarang, allowing Bruce to escape to the Batcave; where he remembers that the mugger who killed his parents asked a similar question and was, in fact, the Joker.","Fortunately, the bullet is stopped by a concealed Batarang, allowing Bruce to escape to the Batcave;","Um, actually, the bullet wasn't stopped by a Batarang. Bruce Wayne had a tea tray he got from the gala Joker crashed hidden under his shirt, which deflected the bullet."
By Peter the Human,Buffy the Vampire Slayer,Cartoons & TV,"In the episode “Hush”, Sunnydale is terrorised by a group of ghoulish figures with metal-toothed grins and black suits known as ‘The Gentlemen’ that render the townspeople unable to speak – allowing them to carve their victims’ hearts out in near silence. Buffy and Riley defeat The Gentlemen by destroying the box that was storing everyone’s stolen voice, then driving a stake through the heart of the lead Gentleman.","Buffy and Riley defeat The Gentlemen by destroying the box that was storing everyone’s stolen voice, then driving a stake through the heart of the lead Gentleman.","Um, actually, the Gentlemen aren't defeated with a stake through the heart. The Gentlemen are killed by Buffy screaming."
By Peter the Human,The Fifth Element,Sci-Fi,"“The Fifth Element” begins in 1914, with aliens known as Mondoshawans taking a weapon for safekeeping. The weapon is designed to destroy a fireball set to collide with Earth, known as the Wolf-Beiderman comet; and consists of four classical elements as four engraved ‘stones’, and the titular fifth element contained in a sarcophagus. In 2263, this ‘fifth element’ is recreated using biotechnology as Milla Jovovich’s character Leelo.","The weapon is designed to destroy a fireball set to collide with Earth, known as the Wolf-Beiderman comet;","Um, actually, the fireball isn't called the Wolf-Beiderman comet. The comet is simply known as ""The Great Evil"". The Wolf-Beiderman comet is from Deep Impact"
By Peter the Human,Fight Club,Cartoons & TV,"You probably know the first and second rules of Fight Club - but what about the others? Among Fight Club's other six rules are “Only two guys to a fight”, “No biting, no gouging”, “Fights will go on as long as they have to” and “If this is your first night at Fight Club, you have to fight”.","Among Fight Club's other six rules are “Only two guys to a fight”, “No biting, no gouging”,","Um, actually, “No biting, no gouging” is not a rule of Fight Club. That's a rule of Ancient Greek wrestling"
By Peter the Human,For Your Eyes Only,Cartoons & TV,"In the twelfth Bond film, Bond films himself captured by Cuban hitman Hector Gonzales; but escapes after Gonzales is shot by a crossbow bolt. The bolt was shot by Melina Havelock, the daughter of an intelligence operative Gonzales had assassinated. Melina and Bond escape Gonzales' villa in a thrilling car chase in Bond's Lotus Esprit.",Melina and Bond escape Gonzales' villa in a thrilling car chase in Bond's Lotus Esprit.,"Um, actually, they don't escape in the Lotus Esprit. The Lotus was destroyed - so the pair escape in Melina's small 2CV."
By Peter the Human,The Greatest American Hero,Cartoons & TV," In “The Greatest American Hero”, substitute teacher Ralph Hinkley encounters extra-terrestrials who give him a suit which endows him with superhuman abilities. Shortly thereafter, Ralph meets FBI Special Agent Bill Maxwell. Bill uses his FBI connections to change Ralph's surname to ""Hanley"" to preserve his secret identity, and Ralph uses the suit to fight crime and injustice, per the aliens' instructions.","Bill uses his FBI connections to change Ralph's surname to ""Hanley"" to preserve his secret identity,","Um, actually, Ralph's surname wasn't changed to preserve a secret identity. The surname ""Hinkley"" was temporarily changed to ""Hanley"", following the assassination attempt of Ronald Reagan by John Hinckley Jr."
By Peter the Human,Jurassic Park,Fantasy,"Some of the most dangerous dinosaurs in Jurassic Park were the Velociraptors. According to Muldoon, raptors are lethal at eight months old, able to reach speeds of 60 mph, and are astonishing jumpers. They also proved to be smart enough set traps and learn how to open doors, so if you encounter one of these ‘clever girls’, your best strategy is to keep absolutely still, as their vision is based on movement.","your best strategy is to keep absolutely still, as their vision is based on movement.","Um, actually, velociraptors don't have vision-based movement. T-Rexes have vision-based movement. If you encounter a raptor... just hide!"
By Peter the Human,The Land Before Time,Fantasy,"On their way to the Great Valley, Littlefoot and friends encounter the Tyrannosaurus - or “sharptooth” - that killed Littlefoot's mother several times. The group eventually defeats the sharptooth by using the tar pits in the Mountains that Burn to make themselves resemble a tar monster, scaring the sharptooth away.","The group eventually defeats the sharptooth by using the tar pits in the Mountains that Burn to make themselves resemble a tar monster,","Um, actually, that isn't how they defeat the sharptooth. The group disguises themselves as a tar monster to scare away the ""domeheads""; but Cera defeats the sharptooth by headbutting a boulder into him causing him to drown."
By Peter the Human,Legend,Fantasy,"“Legend” featured a memorable performance by Tim Curry as the Lord of Darkness. An imposing figure with hooves and devil horns; he says some of the film's most memorable quotes, including: “The dreams of youth are the regrets of maturity”, “We are all animals, my lady”, “There are hundreds of parasites out there armed to the teeth” and “What is light without dark?”",“There are hundreds of parasites out there armed to the teeth” and “What is light without dark?”,"Um, actually, “There are hundreds of parasites out there armed to the teeth” was never said by Darkness That is a quote from Mr. Hector, Tim Curry's character in “Home Alone 2: Lost in New York” about New York City."
By Peter the Human,Magic: the Gathering,Games,"The ‘Power Nine’ are a set of nine Magic cards which are considered so powerful as to break the game if used, and as such are only used in Vintage tournaments. The cards include Ancestral Recall, which allows a player to steal three of their opponent's cards; Time Walk, which allows a player to take an extra turn; and Black Lotus, which adds three mana of a single color of the players’ choice to their mana pool.","The cards include Ancestral Recall, which allows a player to steal three of their opponent's cards;","Um, actually, Ancestral Recall doesn't let you steal your opponent's cards. It just lets you draw 3 more of your own cards."
By Peter the Human,Matilda,Fantasy,Telekinetic tyke Matilda Wormwood often got revenge on the adults in her life by playing practical jokes. She tormented her father by bleaching his hair and putting glue into his hat; and pranked villainous headmistress Miss Trunchball by putting a newt in her drinking water and using her telekinetic powers to pose as the vengeful spirit of Miss Honey's father Magnus.,and pranked villainous headmistress Miss Trunchball by putting a newt in her drinking water,"Um, actually, Matilda didn't put a newt into Miss Trunchball's water. Matilda's friend Lavender put the newt there - but Matilda used her powers to tip the water and newt onto Miss Trunchball."
"By Sierra, Mayor of Frog City",Mighty Morphin' Power Rangers,Comics & Superheroes,"Mighty Morphin’ Power Rangers featured teenagers with attitude being summoned by Zordon and Alpha-5 to fight off against the evil Rita Repulsa. The six initially summoned were Zack, Trini, Billy, Tommy, Kimberly and Jason; with Rocky, Adam and Aisha replacing Jason, Zack and Trini as the Red, Black and Yellow rangers respectively during Season 2, after the original rangers were selected to represent Angel Grove at the World Peace Conference in Geneva.","The six initially summoned were Zack, Trini, Billy, Tommy, Kimberly and Jason;","Um, actually, Tommy was not summoned by Zordon. Tommy was a teenager who was kidnapped and brainwashed by Rita Repulsa, becoming the Green Ranger. He later defected and joined the Power Rangers."
By Peter the Human,Mortal Kombat,Games,"1992’s “Mortal Kombat” was the first game in the Mortal Kombat fighting game series by Midway. All seven playable characters – Johnny Cage, Liu Kang, Sub-Zero, Scorpion, Raiden, Chun-Li and Kano – were all derived from motion capture performances from five actors. The game also introduced the ‘Fatality’ – a special finishing move that allowed a player to kill their opponent in a gruesome fashion.","All seven playable characters – Johnny Cage, Liu Kang, Sub-Zero, Scorpion, Raiden, Chun-Li and Kano","Um, actually, Chun-Li wasn't in Mortal Kombat. Chun-Li is from the “Street Fighter” series. Mortal Kombat's female character was Sonya Blade."
By Peter the Human,Saturday Morning Cartoons,Cartoons & TV,"80s & 90s cartoons had a strange way of dealing with politically incorrect Asian characters - by making their skin green! Asian-coded characters who had green skin in their adaptations include Oddjob in “James Bond Jr.”, The Mandarin in 1994’s “Iron Man”, and Ming the Merciless in “Defenders of the Earth”. The 1996 “Flash Gordon” cartoon took this design choice one step further, making Ming a lizard-man.","Asian-coded characters who had green skin in their adaptations include Oddjob in “James Bond Jr.”,","Um, actually, Oddjob's skin wasn't green. But Dr. No's skin was! He also had pointy ears and a long, grey Fu Manchu mustache."
By Peter the Human,The Simpsons,Cartoons & TV,"Springfield might not strike you as the first place you’d go for a primer on classic and modern literature, but many of The Simpsons’ Treehouse of Horror episodes have referenced literary works; including W. W. Jacobs’ “The Monkey’s Paw”, H. G. Wells’ “The Island of Doctor Moreau”, Edgar Allen Poe’s “The Tell-tale Heart”, Mary Shelly’s “Frankenstein”, Stephen King’s “The Shining” and Ray Bradbury’s “A Sound of Thunder”.","including W. W. Jacobs’ “The Monkey’s Paw”, H. G. Wells’ “The Island of Doctor Moreau”, Edgar Allen Poe’s “The Tell-tale Heart”,","Um, actually, Treehouse of Horror never referenced “The Tell-tale Heart”. The Tell-tale Heart was referenced in the episode ""Lisa's Rival"", but never as part of Treehouse of Horror"
By Peter the Human,Super Mario Bros. 3,Games,The NES game “Super Mario Bros. 3” gave players a series of brand-new power-ups: the “Frog Suit” increases Mario’s jumping height as well as his underwater speed and agility. The “Super Leaf” suit gives Mario the ability fly for a short period of time and turn into a statue to ‘ground pound’ enemies; and the “Hammer Suit” allows Mario to throw hammers at enemies and resist fire attacks when crouching.,The “Super Leaf” suit gives Mario the ability fly for a short period of time and turn into a statue to ‘ground pound’ enemies;,"Um, actually, the Super Leaf Suit doesn't let Mario ground pound. The Tanooki Suit allows Mario to ground pound, the Super Leaf suit only gives him the ability to fly."
By Peter the Human,The Truman Show,Sci-Fi,"Truman Burbank is unknowingly the star of a reality TV show that's been following him from birth. To prevent him from ever leaving the enormous studio of Seahaven Island, the show's creator Cristof discourages exploration - broadcasting messages about the dangers of air travel, preventing Truman ever learning how to swim to make leaving by water impossible, and preventing a spontaneous road trip by orchestrating a forest fire and a nuclear plant leak.","preventing Truman ever learning how to swim to make leaving by water impossible,","Um, actually, Truman isn't prevented from learning how to swim. Truman develops an intense fear of water after his ""father"" supposedly dies at sea."
By Peter the Human,WarGames,Sci-Fi,"In WarGames, a NORAD supercomputer called War Operation Plan and Response (or WOPR [pr: “whopper”] for short) goes awry and prepares to launch missiles at the Soviet Union after obtaining the nuclear launch codes. AI researcher Stephen Falken and teenage hacker David Lightman prevent the strike after directing WOPR to play itself at chess. After numerous stalemates, WOPR begins to understand mutually assured destruction, and concludes that “the only winning move is not to play”.","prevent the strike after directing WOPR to play itself at chess. After numerous stalemates, WOPR begins to understand mutually assured destruction,","Um, actually, WOPR doesn't play itself at chess. WOPR plays Tic-Tac-Toe - after which it relinquishes control of NORAD and instead offers to play “a nice game of chess” instead."
By Peter Svensson,Xena: Warrior Princess,Fantasy,"Although usually set in ancient Greece, some episodes of Xena follow the modern-day reincarnations of Xena, Gabrielle and Joxer. “Deja Vu All Over Again” saw these reincarnations remembering events from their past lives. “You Are There” had a tabloid TV reporter interview the reincarnations. And “Soul Possession” featured the reincarnations attending a historical conference and dealing with Ares, the God of War.",“You Are There” had a tabloid TV reporter interview the reincarnations.,"Um, actually, the episode ""You Are There"" didn't follow the reincarnations. With no explanation given, a modern-day TV reporter shows up in ancient times and interviews the three in the episode “You Are There”."
By Peter the Human,Dungeons & Dragons,Games,"Barbarians in “Dungeons & Dragons” are archetypically strong fighters, defined by their primal instincts and their unbridled rage. Although players have little control over their character's rage, it offers several advantages in combat, including advantage on Strength checks and saving throws and resistance to bludgeoning, piercing and slashing damage.","Although players have little control over their character's rage, it offers several advantages in combat,","Um, actually, Barbarians can control their rage. They can enter a rage during combat as a Bonus Action during combat."
By Peter the Human,Dungeons & Dragons: Honor Among Thieves,Fantasy,"Set in the Forgotten Realms setting of D&D, “Honor Among Thieves” opens with a scenario familiar to all D&D players. The bard Edgin Darvis recounts his backstory to the uninterested Absolution Council of the prison Revel's End while waiting on an absent member - the aarakocra, Jarnathan. After he is denied parole, he escapes (along with the barbarian Holga Kilgore) when Jarnathan arrives by grabbing him and jumping through a window.","After he is denied parole, he escapes (along with the barbarian Holga Kilgore)","Um, actually, Edgin and Holga aren't denied parole. They escape before they're read the verdict on their parole - which was approved."
